"atrybut1" "atrybut2" "atrybut3" "klasa"
"1" 10.7383158082188 0.785178375015769 0.282092822203355 "A"
"2" 20.7708399661583 17.3786709655657 4.04624831067235 "A"
"3" 32.2735207765594 53.544923085203 12.6970276100001 "B"
"4" 23.2566859734847 46.3835936603372 8.96245684659765 "B"
"5" 2.5511772797245 77.9089102023177 7.06968474363876 "C"
"6" 21.7526607809791 75.096176927492 2.77848508369926 "C"
"7" 41.7296932994761 142.257498104319 16.5004601193358 "D"
"8" 23.2038359854703 67.4793387504065 3.81590114329124 "C"
"9" 30.1764057631528 162.950622110374 14.3385040855001 "D"
"10" 45.9570975337198 154.036375870972 13.4257278359323 "D"
"11" 40.5803562220568 143.286885774745 17.2532507660702 "D"
"12" 30.7695846229883 140.992814990203 11.4899786351837 "D"
"13" 18.3482460950812 80.2387029879576 8.37428033851703 "C"
"14" 5.17783768734228 76.5727886663075 1.82073954375326 "C"
"15" 52.1490720625618 137.455068590338 17.1373056996017 "D"
"16" 55.2173972684842 147.694743047307 18.3649240812588 "D"
"17" 22.2108202342475 53.7054892075011 10.6694874751263 "B"
"18" 52.859176598406 154.005172253984 17.3083844655795 "D"
"19" 38.8192389728869 124.789323916069 18.2855098357818 "D"
"20" 16.3159265723066 17.8375441361624 1.73278931639841 "A"
"21" 33.0275594487452 129.802334847408 14.4991846300508 "D"
"22" 16.4249363303527 87.2944462426422 2.24175987216714 "C"
"23" 6.70189040511804 81.0583785409084 4.32176268878532 "C"
"24" 32.6206865310298 77.1462557714945 4.50609431864947 "C"
"25" 32.0279057895479 77.5787747623047 5.44933197267415 "C"
"26" 24.5700381405476 49.2387641161929 10.8584128147311 "B"
"27" 48.5156966016014 159.753895621404 13.0516618407302 "D"
"28" 54.952445296208 153.564371341274 16.3593544774373 "D"
"29" 40.1620794535198 141.630393266256 13.8313957752734 "D"
"30" 2.48857797258573 60.6023443693456 10.743628327684 "B"
"31" 50.8651545375874 141.250970702769 14.5748368017165 "D"
"32" 40.9879735644913 147.517361704233 17.2336321206779 "D"
"33" 37.2719049858329 147.35176799979 12.7828932636644 "D"
"34" 37.861452810678 143.861271071566 14.6565557761648 "D"
"35" 2.28767748544698 91.4499260649386 4.27848474371086 "C"
"36" 16.2025011270467 4.35256143370411 5.28124940831694 "A"
"37" 34.6989858685842 84.1349631136032 6.1807199167997 "C"
"38" 38.6809868343899 148.486828211259 16.2622594056431 "D"
"39" 26.3720161045952 150.01557626758 13.2229215640276 "D"
"40" 46.4034460558557 143.097350365181 20.0282742083487 "D"
"41" 39.2512077095676 58.6488089265331 8.85528982978021 "B"
"42" 20.9622625156368 83.4044868105223 2.00438101513554 "C"
"43" 12.6794014013873 64.8268931584634 6.91532122863233 "C"
"44" 47.9060910314175 144.926278789432 18.6509959758856 "D"
"45" 9.01270829418851 81.1692750648206 0.627671915246141 "C"
"46" 37.273507483993 76.3269813225114 4.29705597820328 "C"
"47" 27.5440331075822 140.738119923473 18.6531127231241 "D"
"48" 24.4615695900063 81.9614209654648 6.88933729378987 "C"
"49" 19.9304551821234 62.6543370361846 5.89810284119264 "C"
"50" 26.3542030588499 10.0188217297219 2.9120184012618 "A"
"51" 56.0782231766891 61.6246687039632 11.4303736479842 "B"
"52" 9.50558294672199 84.565495109655 3.62668563007073 "C"
"53" 25.5479400722503 14.3249366783164 1.32103670197748 "A"
"54" 21.4066969569433 139.527360540696 16.0874432544121 "D"
"55" 63.9744838141593 145.883109339057 16.4072933588727 "D"
"56" 53.6361262582284 156.440719918726 16.1301618481236 "D"
"57" 18.4374687423355 94.4926374048767 4.0852737096451 "C"
"58" 36.5073300604085 66.2600721157796 7.7021359110257 "B"
"59" 47.2366518639106 149.479581234689 16.1962452216401 "D"
"60" 21.8096489335962 92.7167331185737 4.00370947599757 "C"
"61" 51.8892377974683 137.941875426471 19.1213351082055 "D"
